code,eBird Code,sci Name
YB,taiyuh1,Yuhina+brunneiceps
AA,rufwar1,Abroscopus+albogularis
HA,whesib1,Heterophasia+auricularis
CR,rucbab1,Stachyridopsis+ruficeps
ML,whtrob2,Myiomela+leucura
LS,stelio1,Liocichla+steerii
BG,whbsho6,Brachypteryx+goodfellowi
PAL,taiwrb1,Pnoepyga+formosana
FH,snbfly1,Ficedula+hyperythra
NV,vivnil1,Niltava+vivida
PS,gycmin1,Pericrocotus+solaris
PM,grbtit1,Parus+monticolus
AC,taipar1,Arborophila+crudigularis
SE,eurnut2,Sitta+europaea
PA,coatit2,Periparus+ater